Country,Year,Military_Expenditure_USD,Military_Expenditure_pct_Govt,Military_Expenditure_pct_GDP,GDP_USD,GDP_per_Capita_USD,Political_Stability_Index,Military_Expenditure_missing,Political_Stability_missing,Military_Expenditure_pct_Govt_missing,Country_clean,Continent,Military_Expenditure_YoY,Military_Expenditure_YoY_Clipped,Score_Expenditure,Score_Growth,Score_pctGovt,Score_Politics,Total_Score
Kuwait,1991,28334.05888266228,0.5682029075162388,3.852930910899711e-06,735389747127.49,,0.0,0,1,0,Kuwait,Asia,30.322805391882234,30.322805391882234,0.08922382980560306,0.00023023788936511681,1.0,0.5011652265385944,0.2858751259429102
Kuwait,1992,14361.04166631605,0.4140397943214845,1.0475794621743436e-05,137087850467.29,,0.0,0,1,0,Kuwait,Asia,-49.31526850498773,-49.31526850498773,0.045222779298831416,5.632613134145853e-05,0.7286829913126616,0.5011652265385944,0.21395913047532678
Kuwait,1993,6948.445651512847,0.2160701417247177,2.223012770931436e-06,312568858909.5,,0.0,0,1,0,Kuwait,Asia,-51.61600521074674,-50.0,0.021880504213670018,5.1301836482616696e-05,0.38026933489167786,0.5011652265385944,0.1349379818686078
Kuwait,1994,7371.869921238065,0.2326991676575506,2.4141732263255505e-06,305357951983.35,,0.0,0,1,0,Kuwait,Asia,6.093798396955563,6.093798396955563,0.02321386782365518,0.00017732715213267323,0.4095353342606756,0.5011652265385944,0.14136233478109644
Kuwait,1995,8085.078725512426,0.2660550458715596,6.030919836691572e-06,134060457516.34,,0.0,0,1,0,Kuwait,Asia,9.674733980582516,9.674733980582516,0.025459763333040113,0.0001851471152764895,0.46823950098135664,0.5011652265385944,0.15400387231792978
Kuwait,1996,6875.928929492981,0.2454476479514416,9.436664637042074e-07,728639746558.615,,0.170835971832275,0,0,0,Kuwait,Asia,-14.955324951926297,-14.955324951926297,0.02165214895590587,0.00013136057022862803,0.43197182679750173,0.5868044694142935,0.15377508005436064
Kuwait,1997,5238.993766395789,0.188100050530571,7.410352017277608e-07,706983116885.785,,0.0,0,1,0,Kuwait,Asia,-23.806749311731135,-23.806749311731135,0.016497437867201998,0.00011203103730420611,0.3310438015053544,0.5011652265385944,0.12295786741300238
Kuwait,1998,4887.846738724274,0.1727950310559006,3.529594820707059e-07,1384818084514.62,,0.455113381147385,0,0,0,Kuwait,Asia,-6.702566243232811,-6.702566243232811,0.015391675392236888,0.00014938275114466284,0.3041079670134603,0.7293113538795465,0.13995421377288486
Kuwait,1999,4749.317565493626,0.1732205077152812,4.3025291546021493e-07,1103843203575.64,,0.0,0,1,0,Kuwait,Asia,-2.8341554192593987,-2.8341554192593987,0.01495544683446682,0.0001578304959761888,0.3048567781401764,0.5011652265385944,0.1171174061644743
Kuwait,2000,5544.97366648108,0.2437635042231388,6.345219347957794e-07,873882109097.73,,0.752232670783997,0,0,0,Kuwait,Asia,16.75306167707815,16.75306167707815,0.017460968995035984,0.00020060460129202572,0.4290078438505213,0.8782558105729338,0.18067171880579963
